source1_entity_id	matched_entity_ids
S1-141110	S2-687231385,S3-512279754,S3-33676961
S1-51431	S2-79241316,S2-885439160,S3-506526359
S1-737063	S2-215578985,S2-978759967,S3-772581009,S3-871970326,S3-198362862,S3-848521410
S1-178648	S2-132067916,S3-376394554
S1-192568	S2-357917292,S2-630459526,S2-716450846,S3-874673801
S1-497271	S2-736526836,S2-417655614,S2-971520268,S2-647237439,S3-317107946,S3-426701773
S1-223848	
S1-760753	S2-561470396,S3-910678811
S1-541146	S2-724127095,S2-122846537,S2-555378172,S3-379091136,S3-472393190
S1-709401	
S1-589983	S2-840087989,S2-887576114,S2-296997607,S3-483476966,S3-503965967
S1-418158	S2-802745901,S3-746305496
S1-641327	S2-42610149,S3-532006364,S3-212238425
S1-473769	S2-247419719,S3-135962153
S1-580440	S2-597460262,S2-976151143,S2-34788846,S3-105794724,S3-412504336,S3-942584959,S3-886371635
S1-800556	S2-930118046,S2-355596050,S2-153894116
S1-49752	S2-677422666,S3-763578545,S3-623834060
S1-639865	S2-721281121,S3-581326117
S1-693318	S3-235771547,S3-142161259
S1-643709	S2-686274315,S3-96303671,S3-992485477
S1-734392	S2-93595021,S2-207550239,S3-308992796
S1-728680	S2-408590371,S3-59764500,S3-657268176,S3-477260986
S1-819548	S2-855223622,S2-64751594,S3-785994885
S1-109310	S2-787294833,S2-154649606,S2-631938323,S3-337065297,S3-629564897,S3-446733956
S1-699479	S2-960847272,S2-199718552,S2-974266491,S3-499720911
S1-482585	S2-277862119,S2-952119914,S3-257192252,S3-376269422
S1-564459	S2-370196298,S2-874095207,S2-937887804,S3-387305231,S3-717404502
S1-713715	S2-400354074,S2-223002793,S3-872702292,S3-64209662,S3-177151956
S1-526981	S2-259305100,S3-807474844,S3-977616189,S3-366023876,S3-733601937
S1-620693	S3-379552902,S3-705209707,S3-46365081
S1-793208	S2-465894918,S2-53422442,S3-423100044,S3-828519277
S1-420349	S2-42336345,S2-304918839,S2-482219287,S3-280553324,S3-963468688
S1-191502	S3-791805853,S3-144704370,S3-472808991
S1-525456	S2-11711695,S2-714774291,S2-421386540,S2-895957967,S3-930469983
S1-613621	S2-694378414,S2-796549576,S3-985793903,S3-118751385,S3-988822806,S3-74402974
S1-789599	S3-945305598
S1-743521	S2-804873613,S2-291387714,S2-560856155,S3-408921780
S1-199553	S2-442833809,S2-697555823,S3-197509429
S1-223216	S2-218235089,S2-409473588,S3-374838478,S3-161167201,S3-873638343,S3-306546934
S1-747180	S2-114014837,S2-603611498,S2-750552159,S3-506216104,S3-394110905
S1-517523	S2-325851179,S2-780811301,S2-730935617,S2-129813084,S3-151244633
S1-66095	S2-330198942,S3-912503482,S3-949805782
S1-655986	S2-633085294,S3-273121102,S3-940992531,S3-389654242,S3-65177827,S3-229129878
S1-246615	S2-45918375,S3-217672270,S3-971515579
S1-451390	S2-163753337,S2-88980853,S2-20166481,S2-622299403,S3-456092809
S1-419190	S2-316245546,S3-763492167
S1-355559	S2-663115645,S2-866891038,S3-482648627,S3-20817201
S1-145518	S2-337580652,S2-268484080,S2-139562823,S3-89899551,S3-541089145,S3-458093408
S1-343106	S2-363773225,S2-905392157,S3-853207761
S1-97739	S2-725443845,S3-257700516,S3-157330226,S3-304271060
S1-469959	S2-137401464,S2-199380437,S3-34385016,S3-599940610,S3-112456784,S3-376567897,S3-48631401
S1-510922	S2-709888734,S3-741909947
S1-79246	
S1-317561	S2-352257606,S2-631055834,S3-534761694
S1-283229	S3-233440408
S1-469845	S2-150840867,S3-536288274
S1-671102	S3-87820442
S1-155830	S2-218404391,S3-362238225,S3-385508989
S1-710216	
S1-71277	S2-633369554,S3-407740400
S1-805024	S3-827501240
S1-521391	S2-907095335,S3-91450850
S1-55914	S2-517728913,S2-526260530,S3-476659478
S1-632492	S2-9318620,S3-606508437
S1-266696	S3-996511340,S3-697098832
S1-841062	S2-660652080,S3-62607878,S3-86970372
S1-596842	S2-707774688,S3-312118214
S1-506454	S2-743473918,S2-340760926,S3-971391803,S3-426774798,S3-508861192,S3-678695223,S3-319814128
S1-770941	S2-998046709,S2-672668700,S2-584277673,S3-635412308
S1-16773	S3-227790080,S3-444174889,S3-526473899
S1-86007	S2-330672436,S3-890862186
S1-536869	S2-820936270,S3-122343847,S3-883568030
S1-692246	S2-144009352,S2-56733597,S2-17522849,S2-410680200,S3-572162034
S1-431440	S2-138468584,S2-321835036,S3-63539626
S1-329870	S2-941822630,S3-565858635
S1-217840	S2-159681487,S2-747704604,S3-592755367,S3-554756477
S1-354532	S2-589842998,S3-697194672,S3-678941816
S1-210355	S2-455579763,S3-701603421,S3-980905192,S3-511895171
S1-543599	S2-721459636,S2-574486666,S2-762327364,S2-600559092,S3-1312165,S3-182946879,S3-714688836
S1-620972	S2-510186900,S3-273722805,S3-656972049
S1-540018	S2-671840935,S3-832786802,S3-750937335
S1-332343	S2-22861690,S2-294436168,S2-245342212,S3-691199134
S1-819106	S2-465082590,S2-556131485,S3-319958293,S3-953958431
S1-798496	S2-492955787,S3-595193132
S1-621716	
S1-320073	S2-873724312,S2-829659893,S2-642597399,S2-505696022,S3-216972368,S3-330925333,S3-930141259
S1-5662	S2-660417403,S3-153333892,S3-408928459
S1-59892	S2-344178381,S2-570961199,S2-158900012,S3-440128432,S3-222542796
S1-499041	S2-843589929,S2-85774241,S2-372544693
S1-670152	S2-112262963,S2-587157131,S3-625756626
S1-829734	
S1-222404	S2-196562245,S2-292351455,S3-20857877,S3-383344603
S1-119180	S2-368217593,S2-589649708,S2-904304244,S3-779687814,S3-970292498
S1-3662	S2-165495361,S2-396278397,S2-10064010,S3-589781932,S3-542526154
S1-544168	S2-160387117,S3-191655347
S1-837622	S2-559602560,S2-430562630,S2-559238116,S3-314817486,S3-583269764
S1-751174	S2-439801672,S3-144074429
S1-271174	S2-392218159
S1-438198	S2-678148709,S2-276090731,S2-176827526,S2-68607243,S2-763331998
S1-11838	S2-466626841,S2-605629186,S2-692495509,S2-101185208,S3-840776611
S1-305913	S2-412011067,S2-83526754,S2-530072101,S2-872294910,S3-440841631,S3-574307025
S1-305765	S2-474850930,S3-542219140,S3-563148078
S1-537752	S2-301667710,S2-555271326,S2-222598907,S2-444266089,S3-923880843,S3-133596442
S1-659117	S2-508068815,S2-403268189,S3-432729792,S3-974720360
S1-181900	S2-628625648,S2-420306149,S3-392598672,S3-851532554
S1-472621	S2-387882327,S2-255048168,S3-735806687,S3-749819182
S1-831169	S2-161189825,S2-354715644
S1-508023	S2-813787529,S3-248278840
S1-449541	S2-261807930,S2-754567362,S2-706006440,S3-317831616,S3-974234543,S3-969464150
S1-110139	S2-848886479,S2-604637183,S2-220453185,S3-548240536,S3-234681499,S3-241404328
S1-517367	S2-477506129,S2-855705675,S3-972857066,S3-887643373,S3-441567844
S1-239426	S2-390238278,S2-776967468,S2-951241347,S3-832673902,S3-179546586,S3-761904791,S3-347290785
S1-15714	S2-736846009
S1-424075	S2-935650271,S3-755464291
S1-679718	S2-254196604,S3-326712036,S3-393297643
S1-256504	S2-531169280,S3-444207024,S3-329148204,S3-419801705,S3-769104802
S1-615563	S2-911909870,S3-211005362
S1-127052	S2-121496592,S3-359310653,S3-332151425
S1-539780	S2-717047414,S2-780403813,S3-201616069,S3-125392924,S3-938066391
S1-508945	S2-845981766,S2-157761896,S3-599407880
S1-693766	S2-498710228,S3-315226391,S3-60362179,S3-356438188,S3-855288246
S1-253386	S2-202839804
S1-253345	S2-393610813,S3-777804164
S1-98852	S2-659175772,S3-486319653
S1-179897	S2-401440085,S2-620813061,S3-692302665
S1-787856	
S1-13628	S2-415628936,S2-877014066,S3-507953662,S3-785056174
S1-292561	S2-531628643,S3-592590835,S3-940980399,S3-953745550
S1-222004	S2-545573983,S3-306043176,S3-355927821,S3-527708835,S3-679470774,S3-762366140
S1-471476	S2-949756174,S2-680678598,S2-431313444,S2-221814672,S3-379717913,S3-604403749
S1-707766	S2-472629654,S2-48944560,S3-636108101
S1-839266	S2-984372658,S2-847004861,S2-147771568,S3-722852106
S1-140897	S2-288254082,S2-508040127,S3-279679796,S3-419799044,S3-809583527
S1-64485	S2-401093257,S3-509921217,S3-573726378
S1-782266	S2-306629212,S2-161911271,S2-159284400,S2-640420807,S3-131476520,S3-180656092,S3-496666453
S1-140354	S2-218498621,S2-550654626,S3-26682437,S3-512041643,S3-260564299
S1-590662	S2-117791533,S2-257434181,S2-636372089,S3-390998421,S3-457554882,S3-160358071
S1-786843	S2-73805198,S2-387843410,S2-662351283,S2-113817310,S3-453747831
S1-42261	S2-924377148,S3-946968249
S1-448345	S2-443861659,S3-614070947
S1-794206	S2-317103349,S2-151543769,S2-795865693,S2-666245279,S3-898467812,S3-254778588
S1-547229	S2-982726814,S3-957868994,S3-647806686
S1-158081	S2-468951221,S2-455790271,S2-919984897,S3-151381205,S3-789146251
S1-30359	S3-167478928
S1-175554	S2-693658233,S2-914587590,S3-346446318
S1-62475	S2-863997595,S3-100458413,S3-547550218
S1-89875	S2-319520583,S2-338633204,S3-551024031,S3-983129743,S3-552520550
S1-548197	S2-532946452,S3-715026588
S1-263130	S2-625662599,S2-503866049,S2-853323522,S2-52446969,S3-103094195
S1-397748	S2-104329975,S2-655744016
S1-827102	S2-136617158,S2-788026831,S2-975941006,S3-322292222,S3-252732299
S1-205117	S2-867363384,S2-821423575,S2-198165453,S3-332782252,S3-510529657,S3-75411748
S1-183948	S3-683062589,S3-7894164,S3-852885679
S1-656161	S3-523831756,S3-467863253,S3-395045347
S1-307716	S2-8299927,S3-750204466
S1-299395	S2-252501803,S2-33215286,S3-210358853,S3-335953486
S1-733224	S2-347376949,S2-935208960,S3-335379299
S1-252219	S2-368985296,S2-340015022,S3-764958460
S1-392006	S2-260589780,S3-684110331,S3-991962267,S3-635915760
S1-271155	S2-143355003,S2-751156622,S3-971804908,S3-10270918
S1-703924	S2-415471554,S2-229505227
S1-857122	S2-242022617,S3-38444583
S1-412853	S2-212593508,S2-815832016,S3-257393208
S1-823181	S2-542945733,S2-60374127,S2-323259534,S3-524321984,S3-24254766,S3-828183612,S3-527041083
S1-814377	S2-409771712,S2-396981184,S3-533265920,S3-586616478
S1-110151	S2-524612939,S2-37095284,S3-124675013,S3-189344256,S3-346254510,S3-908653315
S1-816120	S2-753613542,S2-312687273,S2-607970635,S3-279934239,S3-493899617
S1-848742	S2-411695434
S1-236735	S2-299719398,S3-68087810,S3-674111197,S3-741884691
S1-630944	S2-353520933,S2-336770728,S2-875024462,S3-3066769,S3-117880395
S1-338389	S2-910009370,S2-627979048,S3-175883654
S1-83643	S2-699176034,S3-585321644,S3-443234749,S3-133767641
S1-682811	S2-69204110,S2-361582767,S2-661697886,S2-560712727,S3-862772811
S1-15891	S2-243224560,S2-605023846,S3-6917310
S1-141534	S2-748134428,S2-973813875,S2-614789567,S3-746826204
S1-725905	S2-700091033,S3-986247301,S3-985996117,S3-684012718
S1-23767	S3-494495420,S3-42480437
S1-815696	S2-916362365,S3-218547454
S1-389971	S2-92214662,S2-977080269,S2-75790274,S3-904297715,S3-758617201
S1-852683	S2-757006931,S2-252065393,S3-87043882,S3-254507064,S3-218365050
S1-690499	S2-853722551,S3-366647473,S3-936795486
S1-61428	S3-230145894,S3-651348694,S3-610056159
S1-167567	S2-70233240,S2-505525562,S3-556837323
S1-376236	S2-674018422,S3-973262937
S1-690074	S2-647167470,S3-684898387
S1-205597	S2-408481275,S2-100258986,S3-171286501
S1-159694	S2-6824716,S2-488709414,S3-689387798
S1-120656	S2-781292348,S2-353139721,S2-690691446,S3-206357703,S3-721765972,S3-659301629
S1-425590	S2-972201652,S2-372826391,S3-783693831,S3-296526425
S1-362174	S2-513179890,S3-297875365,S3-495809237
S1-612329	S2-332079149,S3-460446640
S1-696643	S2-188055165,S3-179724745,S3-749608034
S1-787680	S2-372448483,S2-751798344,S3-313287456
S1-314970	S2-11633216,S3-769834686
S1-67892	S2-589926166,S2-742390649,S3-885197496,S3-641245175,S3-697353437
S1-145035	S2-93202529,S3-196709260,S3-426100633
S1-375880	S2-308215883,S2-597989605,S3-408320708,S3-271899538
S1-647623	S2-657179363,S3-472193272,S3-949719883,S3-314556495,S3-196337016
S1-768392	S2-466599060,S2-714360705,S2-891913975,S3-922194593,S3-682845384,S3-649992630
S1-574927	S2-464629173,S3-60521874,S3-262756063
S1-266267	S2-947646473,S3-343019469,S3-407163549
S1-391551	S2-633069855,S2-916903765,S3-955355840,S3-426049511
S1-307887	S2-777351415,S2-203931362,S2-376893215
S1-228310	S2-738813886,S3-266538211
S1-660372	
S1-696440	S2-710977280,S2-33612099,S3-732691198,S3-775985701,S3-771446523
S1-324530	S2-711707155,S2-106630457,S2-393643037,S3-171556065
S1-686115	S2-660231381,S2-477815137,S2-178283646
S1-548748	S2-553850100,S2-39667284,S2-876949820,S2-488103928,S3-76689120,S3-960911330,S3-917832314,S3-950064500
S1-626781	S2-530341832,S2-154360565,S3-272950523,S3-960826426,S3-969620467
S1-578300	S2-529290614,S2-828853264,S3-548548461
S1-708552	S2-164046987,S3-32037113
S1-209127	S2-203665795,S2-172820044,S2-198879908,S3-853279331,S3-828335124
S1-579092	S3-489463197
S1-417551	
S1-555183	S2-624936711,S2-367951428,S3-661732918
S1-275482	S2-317533978,S2-904479335,S2-608324010,S3-951444540,S3-863619432
S1-417265	S2-731881547,S2-61607271,S2-131354656
S1-258437	S2-194199673,S2-680254626,S2-675548499,S2-679984918,S3-332018941,S3-897593872
S1-584974	S2-831461122,S3-151203533
S1-332082	S2-627480733,S3-72983805,S3-509929962
S1-427006	S3-345680060
S1-778704	S2-927240058,S2-675005611,S3-486816682,S3-302541710
S1-664868	S2-145778454,S2-712452932,S3-163748568
S1-243856	S2-100394172,S3-129058633,S3-121344356
S1-25928	S2-36192143,S3-736991596,S3-171001744
S1-153492	S2-339657772,S2-249300274,S2-962907240
S1-226428	S2-822594802,S2-483655484,S2-891064814,S3-444486821
S1-54451	S2-660825999,S2-506169198,S3-886460824
S1-683372	S2-248366467,S2-901008311,S3-275979095
S1-92158	S2-694742334,S3-940250097
S1-536037	S2-178049117,S2-112682278,S3-208519575,S3-346925027
S1-435045	S2-872324204,S3-524564819,S3-600970907,S3-579947931
S1-662922	S2-120393953,S3-148536048,S3-963342745
S1-30633	S2-268836076,S2-109182532,S3-602928711,S3-120987215
S1-494875	S2-631219785,S3-518582265,S3-208576559,S3-971991054
S1-786342	S2-172175171,S2-234917925,S2-258707405,S3-915033700,S3-469642227
S1-487797	S2-938155019,S3-352319768,S3-489610201
S1-775247	S2-518929114,S2-643920226,S2-828625475,S3-93808768
S1-677843	S2-961332745,S3-981951400,S3-166583352
S1-313819	S3-145569591
S1-706465	S2-137706917,S3-808359870,S3-478704319
S1-11276	S2-13631734,S2-410436751,S3-926041511
S1-58072	S2-938054680,S2-82065799,S2-252580331,S3-683678280
S1-624049	S2-298435300,S2-106196776,S3-933028991,S3-939022449,S3-708660655
S1-75906	S2-30619505,S2-795257700,S2-105696683,S2-587003575,S2-487776610,S3-526973561
S1-571694	S2-126301426,S2-510514431,S2-5502463,S3-975979168,S3-283644506
S1-8847	S2-785352055,S3-774002445
S1-41868	S2-622765648,S2-534386081,S2-654828668,S3-679100970,S3-234705722,S3-973362125
S1-83652	S2-885854654,S2-643043836,S2-359287273,S3-988285137,S3-190446567,S3-865988879
S1-659960	S3-683948958,S3-273852749
S1-675432	S2-966174766,S3-128154112,S3-581522780
S1-597819	S2-470492844,S2-150542274,S3-956258075,S3-25325231
S1-91179	S2-522988595,S3-412061586,S3-221226929
S1-135851	S2-24819580,S2-140130216,S3-158104417,S3-586657367,S3-324676067
S1-476677	S2-616760625,S3-910325636,S3-587057594,S3-610803874
S1-809087	S2-241434643,S2-37058022,S2-186071321,S2-622836210,S3-960766090,S3-678518534,S3-351298689
S1-719906	S2-607027164,S3-668957932
S1-793911	S2-626189049,S3-693945483
S1-108613	S2-490838221,S3-737938436,S3-413614321,S3-24838718,S3-285585072
S1-226346	S2-454714477,S3-116473980
S1-569971	S2-987764162,S2-929405375,S2-279313905,S3-673598252,S3-826242425,S3-564787728,S3-759789173,S3-650329083
S1-794724	S2-10222231,S3-888283712
S1-776747	S2-908919367,S2-592936796,S3-295702287,S3-10291741
S1-344277	S2-144034905,S2-739959327,S3-763892703,S3-677160753
S1-406042	S2-539520626,S3-155967363,S3-230576982,S3-216422218
S1-605443	S2-561910740,S2-576872256,S3-171323866,S3-236244916
S1-330809	S2-671545420,S2-430081394,S3-649338462
S1-289093	S2-167664240,S2-514700542,S2-366955000,S2-153689591
S1-233845	S2-913540103,S2-312944689,S2-165245978,S3-412688343,S3-354328551,S3-799356079,S3-739060283
S1-693332	S2-121638450,S2-774780302,S2-670063619,S2-371421033,S2-588566055
S1-328186	S2-268995665,S2-751389924,S2-851345761,S3-910823808,S3-143833513
S1-686240	S2-988950962,S2-230848682,S2-495312860,S3-687447988
S1-829494	S2-553326614,S2-865838165,S3-326449197,S3-448262324
S1-409860	S3-841112294
S1-106620	S2-817333765,S2-980025745,S3-23622549,S3-760415999
S1-164481	S2-546472943,S2-647876048,S2-539658685,S3-960315745,S3-250727693,S3-545480657
S1-29101	S2-781155828,S2-306226582,S2-986430689,S3-184065003
S1-78841	S2-332022397,S2-658649377,S2-495423204,S2-253510343,S2-543800383,S3-311459832,S3-210820394,S3-251410018
S1-206345	S2-186628463,S2-355619247,S3-599430948,S3-772801239,S3-126435491,S3-288000638
S1-445761	S2-900986318,S2-580613047,S2-288582844,S3-88549498,S3-976867235
S1-671269	S2-775492404,S3-328744389,S3-735552622,S3-767386046
S1-723983	S2-856805473,S2-469453290,S2-749438507,S3-708891756
S1-722415	S2-721728300,S2-629956412,S3-389713299,S3-294603744,S3-362690849
S1-370234	S2-66130029,S2-96665330,S3-319344148
S1-834349	S2-934874276,S2-793441720,S3-133635468,S3-597522050,S3-238406122
S1-235413	S2-301404294,S2-127499257,S2-720973728,S3-46973670,S3-567577451,S3-373858387
S1-716534	
S1-57128	S3-58293163
S1-289667	S2-909807217,S2-936767323,S2-771286514,S3-896278413,S3-127006992,S3-589845981
S1-644265	S2-742619571,S3-73659321,S3-824371948,S3-531133903,S3-958641233
S1-166598	S2-360780127,S3-394013718,S3-17983299,S3-980637116
S1-496474	S2-514299450
S1-780488	S2-372915630,S2-662240955,S2-362118085,S3-369130251,S3-622713289
S1-784983	S2-770698192,S2-890085221,S3-145380638,S3-972072428,S3-77883295
S1-649304	S2-358052758,S3-645020882,S3-508368393,S3-788509665,S3-236336113
S1-432374	S2-623587670,S2-546708391,S3-4024374,S3-649008066,S3-471419271,S3-390733736
S1-65100	S3-631828452,S3-340306056
S1-771920	S2-637734161,S3-562576151
S1-809267	S2-101199934,S2-191687150,S3-160614698,S3-474273840,S3-904115890
S1-848190	S2-947970055,S3-475863253
S1-461792	S2-94789998,S3-82631755,S3-967333286
S1-422571	S2-404760443,S2-255020382,S3-283828526,S3-693683452,S3-288177185
S1-379365	S2-495603041,S3-640313714
S1-88189	S2-348294317,S3-999036893,S3-803404463
S1-34653	S2-529218177
S1-554861	S2-597476930,S2-713399985,S2-850413068,S3-694624561,S3-271137868,S3-433221583
S1-164696	S2-294547377,S3-311845617,S3-897125469,S3-135552632,S3-459034437,S3-311735495
S1-187859	S2-881446381,S2-431539664,S2-192762606,S2-648751785,S2-876790947,S3-641268166,S3-702584287
S1-213984	S3-870362575,S3-235330011
S1-645318	S2-510746750,S2-13742746,S3-333349207,S3-176413884
S1-68554	S2-664274446,S3-519538881,S3-43811450
S1-543560	S2-273895602,S2-809928623,S3-180207162,S3-389675953
S1-144746	
S1-150648	S2-864666277,S2-37754897,S3-431355154,S3-193501096,S3-385906439
S1-404475	S2-464085187,S3-357597866,S3-717523149,S3-682753418
S1-807366	S3-928931768
S1-172914	S2-997236342,S3-646036886
S1-660258	S2-809221588,S2-201714778,S3-103033913,S3-941727824
S1-778551	S2-669051735,S2-242063845,S3-911931043
S1-38127	S3-302922929,S3-238030885
S1-839161	S2-532428851
S1-21068	S2-80376761,S2-655318221,S3-782433252,S3-133944659,S3-802765361
S1-351059	S2-660786725,S2-504080271,S3-690132382,S3-784734823,S3-289901362
S1-716985	S2-794636844,S3-192672805,S3-812001999,S3-524793867
S1-790735	
S1-708080	S2-472131241,S2-311652987,S3-266605228,S3-719111981
S1-36638	S2-91817208,S3-584234433,S3-205207709
S1-57813	S2-995655151,S2-892506426,S3-226767489
S1-562212	S2-825336613,S2-498338949,S3-275612595
S1-50466	S2-262444075,S2-543077747,S3-784184201,S3-740493268
S1-129880	S2-360162031,S3-433672298
S1-581273	S2-153909682,S3-385289530
S1-634808	S2-426280864,S2-240423768,S2-869560963,S2-485535145,S3-481473024,S3-627575795
S1-352252	S2-564135735,S2-677986178,S3-12431286
S1-627867	S2-593313640,S2-227437438,S3-343250345,S3-686480323
S1-113109	S2-103765036,S3-809675076,S3-693995117,S3-864413304
S1-750724	S2-286846499,S3-814753182,S3-22324779,S3-697129939
S1-527310	S2-329116774,S2-707672302,S2-501377200,S3-877218651
S1-67348	S3-337713289,S3-758219296
S1-749391	S2-10560125,S3-472362247,S3-502668161,S3-513625640,S3-48275754
S1-274569	S2-406396745,S3-525675016,S3-454405702,S3-379006562,S3-791039214
S1-494316	S2-706371390,S2-811422187,S3-947221508
S1-309136	S2-870799453,S3-411112190
S1-209843	S2-988715556,S3-870560057
S1-212780	S3-747914234,S3-190737164
S1-126584	S2-164571738,S3-510213501,S3-115462561
S1-63803	S2-636087416,S2-771161068,S3-956899899,S3-121288169,S3-344365214,S3-325850371
S1-97582	S2-487266169,S2-830417828,S3-362392692,S3-370451176,S3-467216417
S1-341071	S2-394446451,S3-526664356,S3-351840456
S1-815515	S2-565389269,S2-350944442,S2-239906369,S3-475733847,S3-124431012,S3-618222756,S3-250169451,S3-307896987
S1-519391	S2-7906218,S3-839179050,S3-807522256
S1-317658	S2-472712589,S3-725147024,S3-42585739,S3-292244597,S3-352117888
S1-488592	S2-629319545,S2-497209668,S2-368862715,S3-617244983,S3-753227561,S3-726067753
S1-32523	S3-945029652,S3-402288622,S3-18407250
S1-331813	S2-809693875,S2-44418421
S1-483491	S2-448176097,S3-481324329
S1-636585	S2-676643724,S2-948358929,S3-465425066,S3-477304897
S1-647086	S2-705603681,S2-156787421,S3-922476805,S3-469733965
S1-742763	S2-838671530,S2-731946626,S2-273236794,S2-454454386,S3-255819694,S3-370124736
S1-205917	S2-475301812,S3-293415382,S3-177758304,S3-342307032
S1-534896	S2-679519726,S2-653680451,S3-324808432,S3-345719525
S1-572666	S2-614842145,S3-579194141,S3-689618655
S1-326423	S2-879237315,S3-434610739,S3-864726263
S1-471618	S2-490307199,S2-882767563,S3-890219988
S1-204872	S2-747761942,S2-955763760,S3-27787471
S1-43666	S2-278336987,S3-797457932,S3-596369788
S1-357515	S2-501346063,S2-480465606,S2-275485779,S3-914686235,S3-45977237,S3-307654514
S1-749297	S2-14452207,S3-157325540
S1-650254	S2-746182184,S2-897527448,S2-106683451,S3-571339979
S1-361096	S2-75299292
S1-785235	S2-374357194,S2-630317391,S2-611864840,S2-252313814,S3-670715605
S1-790138	S2-460345394,S3-362182900,S3-943779812
S1-648593	S2-632374737,S2-176054221,S2-362857289
S1-699327	S2-324992774,S3-696833906,S3-49064528,S3-982997477
S1-66591	S2-761850957,S2-786698001,S2-460423193,S3-695912587,S3-636282721,S3-308325513
S1-250341	S2-741484153,S3-602935566,S3-42372600,S3-342069414,S3-376250354
S1-282802	S2-542810062,S3-754789893
S1-443502	S2-296454635,S2-143322202,S3-138938245
S1-154758	S3-815431357,S3-402640869
S1-308112	S2-878494995,S3-462780956,S3-904932603,S3-532888858
S1-802660	S2-389005737,S3-512676090,S3-661120932,S3-299747775,S3-773262232
S1-34654	S2-64562038,S3-310934568,S3-92958165
S1-116177	S2-4050615,S2-802463380
S1-750807	S2-297982535,S3-626655344,S3-152762209
S1-608135	S2-7819799,S3-103731055
S1-262261	S2-196928184,S2-31960451,S2-376789518
S1-537047	S3-90423876,S3-643294333,S3-180840260
S1-425956	S2-905512277,S3-696596139
S1-377307	S2-125928398,S2-701601608,S2-213548953,S2-825697909,S3-282439318
S1-204512	S2-769064344
S1-290476	S2-926325989,S3-484637397,S3-313676010,S3-668934565,S3-901879207
S1-255632	S2-979146286,S3-839828159
S1-37774	S2-614901549,S2-346499969,S3-650164608,S3-63910622
S1-594290	S2-584449207,S2-207445833,S2-192755744,S3-691820083
S1-412697	S2-311038683,S3-98129482,S3-488958738
S1-212621	S2-360828034,S2-164193566,S2-928635667,S3-303377954,S3-402631700
S1-689057	S2-291764725,S2-524731465,S2-415594230,S3-37743849,S3-887913497
S1-356439	S2-39270864,S3-289849804
S1-243401	S2-702665110,S3-787749099
S1-377609	S2-656351190,S3-132159124
S1-679190	S2-443681592,S2-430110140
S1-725829	
S1-195368	S2-304946784
S1-412772	S2-442520237
S1-12175	S2-645702577,S2-463191001,S3-180861114,S3-68671419
S1-718450	S2-316682952,S3-570909643,S3-223069117,S3-998281337,S3-825760805
S1-382530	S2-964578843,S3-182415526,S3-340390117
S1-151212	S2-738208608,S2-238935198,S3-239689663
S1-465875	S3-808326278,S3-646433542,S3-687395891,S3-488874427
S1-837193	S2-896548838,S3-555286148
S1-298928	S2-159841225,S2-326582094,S3-740572303,S3-343150209,S3-429303983,S3-938860675
S1-74434	S2-34845085,S2-664303648,S2-30119802,S2-484278153,S3-460591679
S1-187427	S2-803790725,S2-205315157,S2-416750406,S3-259982957
S1-740344	S2-372872658,S2-742652561,S2-249604230,S3-187642347,S3-512820994
S1-65188	S2-52911030,S2-173808403,S2-953573805,S2-917675014,S3-485260216,S3-863651042,S3-523927278,S3-734898499
S1-515623	S2-996387861
S1-209564	S2-893579404,S3-616727895,S3-68741590
S1-1920	S2-459058222,S2-444076282,S2-432477213,S3-313670675,S3-168210259
S1-797751	S2-144647912,S2-30589572,S3-886295383,S3-92706977
S1-733851	S3-619886861
S1-358543	S2-97762565,S2-688788106,S3-313420744
S1-649849	S3-915884681
S1-113916	S2-232827371,S2-804857222,S3-144890084
S1-110941	S2-691383614,S2-495726602,S3-911403778,S3-49175340,S3-900027825
S1-726248	S2-185748145,S3-365887647,S3-387420987
S1-790487	
S1-689210	S2-626112526,S2-222858852,S3-133036565,S3-325689685,S3-197771087,S3-713969780
S1-210103	S2-796218963,S2-86499263,S3-570219067,S3-915381408,S3-925462377
S1-564523	S2-57641918,S3-972093229,S3-960478718,S3-442551585,S3-905418880
S1-511380	S2-678243496,S3-308621882,S3-922687853,S3-395329440
S1-232951	S2-104926465,S2-543403393,S2-393203446,S3-533040600,S3-132242247,S3-140086803
S1-293180	S2-509691654,S3-730533711,S3-961455434,S3-671766452
S1-816228	S2-803832468
S1-645543	S2-554471031,S3-87040314,S3-756537598
S1-122063	S2-819124119,S3-689342372,S3-617659931,S3-594009158
S1-700774	S2-192036550,S2-795142561,S3-333658046,S3-68335853
S1-299853	S2-784226750,S2-566177698,S2-240958161,S3-37974186,S3-33086475,S3-124135493,S3-78829037
S1-568870	S2-435580164,S2-379025191,S3-465882290
S1-790484	S2-457321092,S2-767497284,S3-766676715
S1-576314	S2-573505291,S3-495681054,S3-441149065
S1-446720	S2-62596592,S2-264814247,S2-316174994,S2-286319124
S1-441991	S2-845816726,S2-284159941,S3-752422725,S3-669235023,S3-792550670,S3-720669301
S1-479519	S2-633740696,S3-204364329
S1-695853	S2-552208129,S2-24545064,S2-893185580,S3-460596450,S3-840436387,S3-447397702
S1-597087	S2-515836543,S2-597824349,S2-398259045,S3-547441276
S1-320553	S2-942783580,S2-208193342,S2-890360485,S3-186364099,S3-93328823,S3-151861879
S1-763227	S2-515348089,S2-407917803,S3-551743595,S3-494303039,S3-482700756
